TIME, CPU_LOAD, CORES, GPU_LOAD, MIN_GPU_LOAD, MAX_GPU_LOAD, USED_MEMORY, PEEK_MEMORY, RAM_LOAD, MIN_RAM_LOAD, MAX_RAM_LOAD, GPU_TEMP, MIN_TEMP, MAX_TEMP
23/6/2020/;19:56:27:22,-858993460,,5,0,5,238,249,30,0,30,50,0,50,
23/6/2020/;19:56:28:22,-858993460,,5,0,5,238,249,30,0,30,50,0,50,
23/6/2020/;19:56:29:71,-858993460,,14,0,14,239,249,30,0,30,50,0,50,
23/6/2020/;19:56:30:90,-858993460,,9,0,9,239,249,30,0,30,51,0,51,
23/6/2020/;19:56:31:140,-858993460,,4,0,4,239,249,30,0,30,51,0,51,
23/6/2020/;19:56:32:181,-858993460,,4,0,4,239,249,30,0,30,51,0,51,
23/6/2020/;19:56:33:277,-858993460,,4,0,4,239,249,30,0,30,51,0,51,
23/6/2020/;19:56:34:381,-858993460,,4,0,4,239,249,30,0,30,51,0,51,
23/6/2020/;19:56:35:537,-858993460,,4,0,4,239,249,30,0,30,50,0,50,
23/6/2020/;19:56:36:598,-858993460,,4,0,4,239,249,30,0,30,51,0,51,
23/6/2020/;19:56:37:692,-858993460,,4,0,4,239,249,30,0,30,51,0,51,
23/6/2020/;19:56:38:688,-858993460,,8,0,8,239,249,30,0,30,50,0,50,
23/6/2020/;19:56:39:965,-858993460,,4,0,4,239,249,30,0,30,51,0,51,
23/6/2020/;19:56:41:239,-858993460,,10,0,10,239,249,30,0,30,51,0,51,
23/6/2020/;19:56:42:423,-858993460,,10,0,10,239,249,30,0,30,51,0,51,
23/6/2020/;19:56:43:617,-858993460,,9,0,9,239,249,30,0,30,51,0,51,
23/6/2020/;19:56:44:855,-858993460,,4,0,4,239,249,30,0,30,50,0,50,
23/6/2020/;19:56:46:123,-858993460,,10,0,10,239,249,30,0,30,50,0,50,
23/6/2020/;19:56:47:307,-858993460,,10,0,10,239,249,30,0,30,50,0,50,
23/6/2020/;19:56:48:478,-858993460,,9,0,9,239,249,30,0,30,51,0,51,
23/6/2020/;19:56:49:713,-858993460,,10,0,10,239,249,30,0,30,51,0,51,
23/6/2020/;19:56:50:932,-858993460,,4,0,4,240,249,30,0,30,51,0,51,
23/6/2020/;19:56:52:127,-858993460,,4,0,4,240,249,30,0,30,51,0,51,
23/6/2020/;19:56:53:298,-858993460,,5,0,5,240,249,30,0,30,50,0,50,
23/6/2020/;19:56:54:438,-858993460,,8,0,8,240,249,30,0,30,51,0,51,
23/6/2020/;19:56:55:493,-858993460,,6,0,6,240,249,30,0,30,51,0,51,
23/6/2020/;19:56:56:547,-858993460,,6,0,6,240,249,30,0,30,50,0,50,
23/6/2020/;19:56:57:626,-858993460,,9,0,9,240,249,30,0,30,50,0,50,
23/6/2020/;19:56:58:607,-858993460,,7,0,7,240,249,30,0,30,51,0,51,
23/6/2020/;19:56:59:846,-858993460,,7,0,7,240,249,30,0,30,51,0,51,
23/6/2020/;19:57:1:49,-858993460,,8,0,8,240,249,30,0,30,51,0,51,
23/6/2020/;19:57:2:109,-858993460,,4,0,4,240,249,30,0,30,50,0,50,
23/6/2020/;19:57:3:126,-858993460,,4,0,4,241,249,30,0,30,50,0,50,
23/6/2020/;19:57:4:221,-858993460,,9,0,9,241,249,30,0,30,51,0,51,
23/6/2020/;19:57:5:304,-858993460,,6,0,6,241,249,30,0,30,50,0,50,
23/6/2020/;19:57:6:343,-858993460,,6,0,6,241,249,30,0,30,50,0,50,
23/6/2020/;19:57:7:374,-858993460,,5,0,5,241,249,30,0,30,51,0,51,
23/6/2020/;19:57:8:449,-858993460,,9,0,9,241,249,30,0,30,51,0,51,
23/6/2020/;19:57:9:576,-858993460,,4,0,4,241,249,30,0,30,50,0,50,
23/6/2020/;19:57:10:751,-858993460,,4,0,4,242,249,30,0,30,51,0,51,
23/6/2020/;19:57:11:881,-858993460,,9,0,9,242,249,30,0,30,51,0,51,
23/6/2020/;19:57:12:985,-858993460,,6,0,6,242,249,30,0,30,51,0,51,
23/6/2020/;19:57:14:134,-858993460,,4,0,4,242,249,30,0,30,51,0,51,
23/6/2020/;19:57:15:256,-858993460,,9,0,9,242,249,30,0,30,51,0,51,
23/6/2020/;19:57:16:393,-858993460,,5,0,5,242,249,30,0,30,50,0,50,
23/6/2020/;19:57:17:555,-858993460,,4,0,4,242,249,30,0,30,51,0,51,
23/6/2020/;19:57:18:695,-858993460,,4,0,4,242,249,30,0,30,51,0,51,
23/6/2020/;19:57:19:826,-858993460,,9,0,9,242,249,30,0,30,51,0,51,
23/6/2020/;19:57:20:986,-858993460,,5,0,5,243,249,30,0,30,50,0,50,
23/6/2020/;19:57:22:149,-858993460,,5,0,5,243,249,30,0,30,51,0,51,
23/6/2020/;19:57:23:331,-858993460,,4,0,4,243,249,30,0,30,51,0,51,
23/6/2020/;19:57:24:522,-858993460,,5,0,5,243,249,30,0,30,51,0,51,
23/6/2020/;19:57:25:727,-858993460,,4,0,4,243,249,30,0,30,50,0,50,
23/6/2020/;19:57:26:920,-858993460,,5,0,5,243,249,30,0,30,50,0,50,
23/6/2020/;19:57:28:132,-858993460,,8,0,8,243,249,30,0,30,51,0,51,
23/6/2020/;19:57:29:344,-858993460,,4,0,4,243,249,30,0,30,50,0,50,
23/6/2020/;19:57:30:586,-858993460,,4,0,4,243,249,30,0,30,51,0,51,
23/6/2020/;19:57:31:788,-858993460,,4,0,4,243,249,30,0,30,50,0,50,
23/6/2020/;19:57:32:995,-858993460,,5,0,5,243,249,30,0,30,50,0,50,
23/6/2020/;19:57:34:260,-858993460,,4,0,4,243,249,30,0,30,50,0,50,
23/6/2020/;19:57:35:180,-858993460,,8,0,8,243,249,30,0,30,50,0,50,
23/6/2020/;19:57:36:437,-858993460,,5,0,5,243,249,30,0,30,50,0,50,
23/6/2020/;19:57:37:718,-858993460,,7,0,7,243,249,30,0,30,50,0,50,
23/6/2020/;19:57:39:5,-858993460,,4,0,4,243,249,30,0,30,50,0,50,
23/6/2020/;19:57:40:258,-858993460,,8,0,8,243,249,30,0,30,50,0,50,
23/6/2020/;19:57:41:569,-858993460,,4,0,4,243,249,30,0,30,50,0,50,
23/6/2020/;19:57:42:831,-858993460,,8,0,8,243,249,30,0,30,50,0,50,
23/6/2020/;19:57:44:72,-858993460,,4,0,4,243,249,30,0,30,50,0,50,
23/6/2020/;19:57:45:358,-858993460,,8,0,8,244,249,30,0,30,50,0,50,
23/6/2020/;19:57:46:605,-858993460,,4,0,4,244,249,30,0,30,50,0,50,
23/6/2020/;19:57:47:869,-858993460,,8,0,8,244,249,30,0,30,50,0,50,
23/6/2020/;19:57:49:134,-858993460,,5,0,5,244,249,30,0,30,51,0,51,
23/6/2020/;19:57:50:413,-858993460,,9,0,9,244,249,30,0,30,51,0,51,
23/6/2020/;19:57:51:605,-858993460,,7,0,7,244,249,30,0,30,50,0,50,
23/6/2020/;19:57:52:750,-858993460,,5,0,5,244,249,30,0,30,50,0,50,
23/6/2020/;19:57:53:846,-858993460,,5,0,5,244,249,30,0,30,50,0,50,
23/6/2020/;19:57:55:12,-858993460,,7,0,7,244,249,30,0,30,50,0,50,
23/6/2020/;19:57:56:225,-858993460,,5,0,5,244,249,30,0,30,50,0,50,
23/6/2020/;19:57:57:451,-858993460,,4,0,4,244,249,30,0,30,50,0,50,
23/6/2020/;19:57:58:671,-858993460,,5,0,5,244,249,30,0,30,50,0,50,
23/6/2020/;19:57:59:884,-858993460,,5,0,5,244,249,30,0,30,51,0,51,
23/6/2020/;19:58:1:60,-858993460,,5,0,5,244,249,30,0,30,50,0,50,
23/6/2020/;19:58:2:300,-858993460,,8,0,8,244,249,30,0,30,51,0,51,
23/6/2020/;19:58:3:535,-858993460,,4,0,4,245,249,30,0,30,50,0,50,
23/6/2020/;19:58:4:821,-858993460,,7,0,7,245,249,30,0,30,50,0,50,
23/6/2020/;19:58:6:76,-858993460,,5,0,5,245,249,30,0,30,50,0,50,
23/6/2020/;19:58:7:371,-858993460,,8,0,8,245,249,30,0,30,50,0,50,
23/6/2020/;19:58:8:631,-858993460,,4,0,4,245,249,30,0,30,50,0,50,
23/6/2020/;19:58:9:931,-858993460,,5,0,5,245,249,30,0,30,50,0,50,
23/6/2020/;19:58:11:196,-858993460,,4,0,4,245,249,30,0,30,50,0,50,
23/6/2020/;19:58:12:430,-858993460,,5,0,5,245,249,30,0,30,51,0,51,
23/6/2020/;19:58:13:666,-858993460,,5,0,5,245,249,30,0,30,50,0,50,
23/6/2020/;19:58:14:907,-858993460,,4,0,4,245,249,30,0,30,50,0,50,
23/6/2020/;19:58:16:128,-858993460,,5,0,5,245,249,30,0,30,50,0,50,
23/6/2020/;19:58:17:319,-858993460,,6,0,6,245,249,30,0,30,50,0,50,
23/6/2020/;19:58:18:528,-858993460,,9,0,9,245,249,30,0,30,50,0,50,
23/6/2020/;19:58:19:757,-858993460,,4,0,4,245,249,30,0,30,50,0,50,
23/6/2020/;19:58:20:910,-858993460,,9,0,9,245,249,30,0,30,50,0,50,
23/6/2020/;19:58:22:98,-858993460,,9,0,9,245,249,30,0,30,50,0,50,
23/6/2020/;19:58:23:332,-858993460,,4,0,4,246,249,30,0,30,50,0,50,
23/6/2020/;19:58:24:565,-858993460,,4,0,4,246,249,30,0,30,50,0,50,
23/6/2020/;19:58:25:800,-858993460,,5,0,5,246,249,30,0,30,50,0,50,
23/6/2020/;19:58:27:33,-858993460,,4,0,4,246,249,30,0,30,50,0,50,
23/6/2020/;19:58:28:278,-858993460,,4,0,4,246,249,30,0,30,50,0,50,
23/6/2020/;19:58:29:577,-858993460,,5,0,5,246,249,30,0,30,50,0,50,
23/6/2020/;19:58:30:531,-858993460,,9,0,9,246,249,30,0,30,50,0,50,
23/6/2020/;19:58:31:875,-858993460,,5,0,5,246,249,30,0,30,50,0,50,
23/6/2020/;19:58:33:130,-858993460,,18,0,18,246,249,30,0,30,50,0,50,
23/6/2020/;19:58:34:418,-858993460,,5,0,5,246,249,30,0,30,50,0,50,
